Song Title,Artist Name,Key,BPM,Year,Style
Never Tear Us Apart,INXS,Am,64,1988,Alternative,
Fix You,Coldplay,Eb,69,2005,Alternative,
Paradise,Coldplay,Dm,70,2011,Alternative,
The Scientist,Coldplay,F,73,2002,Alternative,
Don't Speak,No Doubt,Cm,76,1996,Alternative,
Fly Away,Lenny Kravitz,G,80,1998,Alternative,
Under the Bridge,Red Hot Chili Peppers,E,84,1992,Alternative,
Zombie,The Cranberries,Em,84,1994,Alternative,
How You Remind Me,Nickelback,Cm,86,2001,Alternative,
Wonderwall,Oasis,F#m,87,1995,Alternative,
Killing in the Name,Rage Against the Machine,Dm,88,1992,Alternative,
Scar Tissue,Red Hot Chili Peppers,F,89,1999,Alternative,
We Are Young,Fun & Janelle Monáe,F,92,2011,Alternative,
Ode to My Family,The Cranberries,D,95,1994,Alternative,
Linger,The Cranberries,D,95,1993,Alternative,
Sailor Song,Gigi Perez,G#m,95,2024,Alternative,
Thrift Shop,Macklemore & Ryan Lewis & Wanz,G#m,95,2012,Alternative,
Californication,Red Hot Chili Peppers,Am,97,1999,Alternative,
Electric Feel,MGMT,Cm,103,2007,Alternative,
Black Hole Sun,Soundgarden,Ab,106,1994,Alternative,
Snow (Hey Oh),Red Hot Chili Peppers,G#m,106,2006,Alternative,
Messy,Lola Young,A,111,2024,Alternative,
Too Sweet,Hozier,Gm,117,2024,Alternative,
Safe And Sound,Capital Cities,C,118,2011,Alternative,
Kids,MGMT,F#m,123,2008,Alternative,
Otherside,Red Hot Chili Peppers,C,124,2000,Alternative,
Sweater Weather,The Neighbourhood,Gm,124,2013,Alternative,
A Sky Full of Stars,Coldplay,Ebm,125,2014,Alternative,
Losing My Religion,R.E.M.,Am,126,1991,Alternative,
Budapest,George Ezra,F,128,2013,Alternative,
Dreams,The Cranberries,E,129,1992,Alternative,
All the Small Things,Blink-182,C,148,1999,Alternative,
Ride,Twenty One Pilots,F#,150,2015,Alternative,
As It Was,Harry Styles,A,174,2022,Alternative,
Clint Eastwood,Gorillaz,Ebm,84.010,2001,Alternative,
Yellow,Coldplay,B,86.750,2000,Alternative,
On Melancholy Hill,Gorillaz,D,120.410,2010,Alternative,
I Follow Rivers,Lykke Li,Dm,121.970,2011,Alternative,
Clocks,Coldplay,Eb,131.210,2002,Alternative,
Feel Good Inc.,Gorillaz,Ebm,138.520,2005,Alternative,
Crazy,Aerosmith,A,54,1993,Blues,
Don't Let Me Down,The Beatles,E,76,1969,Blues,
Feeling Good,Nina Simone,Gm,76,1965,Blues,
Ain't No Sunshine,Bill Withers,Am,79,1971,Blues,
Come Together,The Beatles,Dm,84,1969,Blues,
Rock Me Baby,B.B. King,C,90,1964,Blues,
I Got a Woman,Ray Charles,A,99,1954,Blues,
Sunshine of Your Love,Cream,D,116,1968,Blues,
(I Can't Get No) Satisfaction,The Rolling Stones,E,137,1965,Blues,
Hallelujah I Love Her So,Ray Charles,B,147,1956,Blues,
Hit the Road Jack,Ray Charles,G#m,172,1961,Blues,
Overjoyed,Stevie Wonder,Eb,83,1986,Christmas,
Say Something,Justin Timberlake & Chris Stapleton,Cm,97,2018,Country,
Hey Soul Sister (Country Mix),Train,E,97,2010,Country,
Man! I Feel Like a Woman!,Shania Twain,Bb,125,1996,Country,
Back at One,Mark Wills,B,64.925,1999,Country,
You're Still The One,Shania Twain,Eb,67.010,1997,Country,
Roar,Katy Perry,Bb,90,2013,Dance,
Single Ladies (Put a Ring on It),Beyoncé,E,97,2008,Dance,
Lean On,Major Lazer & MØ & DJ Snake,Gm,98,2015,Dance,
Pon de Replay,Rihanna,F#m,99,2005,Dance,
Someone Like You (remix),Ziggy in tha House,G,99,2025,Dance,
Sorry,Justin Bieber,Cm,100,2015,Dance,
Versace on the Floor (vs David Guetta),Bruno Mars,D,100,2017,Dance,
Stay,Zedd & Alessia Cara,Fm,102,2017,Dance,
What's Love Got to Do with It,Kygo,B,105,2020,Dance,
Dance the Night,Barbie (2023 film) (Dua Lipa),Bm,110,2023,Dance,
Kiss Me More,Doja Cat & SZA,Ab,111,2021,Dance,
A Little Less Conversation,Junkie XL & Elvis Presley,E,115,2002,Dance,
Cuff It,Beyoncé,Em,115,2022,Dance,
Break My Soul,Beyoncé,G#m,115,2022,Dance,
Cold Heart (PNAU remix),Dua Lipa & Elton John,Bbm,116,2021,Dance,
Murder on the Dancefloor (PNAU remix),Sophie Ellis Bextor,E,116,2024,Dance,
Sexyback,Justin Timberlake & Timbaland,Dm,117,2006,Dance,
Next to Me,Rüfüs Du Sol,Em,118,2021,Dance,
Bad Romance,Lady Gaga,Am,119,2009,Dance,
Poker Face,Lady Gaga,G#m,119,2008,Dance,
Stand by Me (remix),Ivan Jack (45 Stars),Bb,120,2021,Dance,
Dynamite,Taio Cruz,C#m,120,2010,Dance,
Alors on danse,Stromae,C#m,120,2009,Dance,
Just Dance,Lady Gaga & Colby O'Donis,C#m,120,2008,Dance,
I'm Every Woman,The Bodyguard (Whitney Houston),Cm,120,1993,Dance,
On My Knees,Rüfüs Du Sol,F,120,2021,Dance,
Call Me Maybe,Carly Rae Jepsen,G,120,2011,Dance,
Flowers (remix),Max Oazo & Miley Cyrus & Bonzana,Bm,122,2023,Dance,
How Deep Is Your Love,Calvin Harris,Em,122,2015,Dance,
Bleeding Love (remix),Leona Lewis,F,122,2008,Dance,
Telephone,Lady Gaga & Beyoncé,Fm,122,2009,Dance,
Rain on Me,Lady Gaga & Ariana Grande,C#m,123,2020,Dance,
One Kiss,Calvin Harris & Dua Lipa,Am,124,2018,Dance,
This Is What You Came For,Calvin Harris & Rihanna,Am,124,2016,Dance,
Bailamos (remix),Enrique Iglesias,Am,124,1999,Dance,
Wake Me Up!,Avicii & Aloe Blacc,Bm,124,2013,Dance,
Lose Control,Meduza & Becky Hill & Goodboys,Cm,124,2019,Dance,
Someone You Loved (Future Humans Remix),Lewis Capaldi,Db,124,2019,Dance,
A Sky Full of Stars,Coldplay,Ebm,125,2014,Dance,
California Gurls,Katy Perry & Snoop Dogg,F,125,2010,Dance,
I Love It,Icona Pop & Charli XCX,Ab,126,2012,Dance,
Bésame mucho (Techno Remix),Dalida,Am,126,1997,Dance,
Hotel Room Service,Pitbull & Nicole Scherzinger,B,126,2009,Dance,
Bad Habits,Ed Sheeran,Bm,126,2021,Dance,
Summertime Sadness (Cedric Gervais Remix),Lana Del Rey,C#m,126,2012,Dance,
Levels (album version),Avicii,C#m,126,2011,Dance,
Only Girl (In the World),Rihanna,D,126,2010,Dance,
Everything (i-Soul Remix),Michael Bublé,D,126,2008,Dance,
Titanium,David Guetta & Sia,Eb,126,2011,Dance,
Closer,Ne-Yo,Em,126,2008,Dance,
Shivers (remix Ofenbach),Ed Sheeran,Bm,127,2021,Dance,
Mr. Saxobeat,Alexandra Stan,Bm,127,2010,Dance,
